"","Mouse.Name","Mouse","Genotype","Weight.Value","Colony.Prefix","Colony.Name","Cohort.Name","Pipeline","Gene.Name","Gender","Birth.Date","Assay.Date","Age.In.Weeks","X","X.1","Blood.Volume","Anaesthetic","Sodium","K","Cl","Gluc","Trigs","Chol","Hdl","Ldl","Nefac","Glyc","Frct","Amy","Tp","Alb","Ca","Phos","Iron","Ast","Alp","Alt","Creat","Urea","Tbilc","Ck","Mg","Lih","Comments","Hitachi.Cup","T4","Insulin","Insulin.Assay.Date","Full.Strain","Core.Strain","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","Sodium_added"
"17","MCFF31.2c","M00783054","+/+",30.7,"MCFF","9030409G11Rik Knockout First EPD0157_6_B09","B6N Mouse GP 20110401","Mouse GP","Kazn","Female","30-Mar-11","21-Jul-11",16.1,NA,NA,750,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",144.1,4.1,107.3,21.62,0.77,3.02,2.15,0.65,0.494,148,172.72,498.2,46.4,25.28,2.27,2.74,34.4,99.8,159.2,48.7,8.7,8,1.7,347.8,0.85,"LIP: Normal    ICT: Normal    HEM: Normal","",17612,6.5,0.48,"09-Jan-12","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",144.1
"18","MCTS35.2d","M00782354","+/+",35.3,"MCTS","Cc2d2a Knockout 1 EPD0381_1_A04","B6N Mouse GP 20110401","Mouse GP","Cc2d2a","Female","02-Apr-11","21-Jul-11",15.7,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",142.4,3.6,107.6,17.48,0.43,5.02,3.44,1.19,0.189,144.4,198.21,515,51.8,27.63,2.32,1.93,42,217.5,126.1,166.8,7.5,7.4,1.4,244.6,0.89,"LIP: Normal    ICT: Normal    HEM: Normal","",17591,7.1,0.87,"09-Jan-12","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",142.4
"19","MCTS35.2e","M00782355","+/+",32.3,"MCTS","Cc2d2a Knockout 1 EPD0381_1_A04","B6N Mouse GP 20110401","Mouse GP","Cc2d2a","Female","02-Apr-11","21-Jul-11",15.7,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",142.4,3.9,105.9,18.82,0.43,4.52,3.01,1.12,0.254,122.8,195.38,503.8,51.3,28.1,2.3,2.18,34.6,227.7,108.5,165.9,7.1,6.9,2.2,317,0.81,"LIP: Normal    ICT: Normal    HEM: Normal","",17587,6.2,0.38,"09-Jan-12","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",142.4
"20","MCTS35.2c","M00782353","+/+",37.1,"MCTS","Cc2d2a Knockout 1 EPD0381_1_A04","B6N Mouse GP 20110401","Mouse GP","Cc2d2a","Female","02-Apr-11","21-Jul-11",15.7,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141.9,4.3,107.2,21.34,0.37,5.15,3.32,1.39,0.205,127.6,178.39,639.9,50,26.04,2.38,2.27,36.3,278.8,147.9,184.9,9.2,10.2,1.5,797.5,0.89,"LIP: Normal    ICT: Normal    HEM: Normal","",17573,6.3,0.82,"09-Jan-12","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141.9
"21","MCFF31.2k","M00783062","+/+",27.7,"MCFF","9030409G11Rik Knockout First EPD0157_6_B09","B6N Mouse GP 20110401","Mouse GP","Kazn","Female","30-Mar-11","21-Jul-11",16.1,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",143.6,4.1,109.1,21.26,0.88,3.19,2.26,0.66,0.404,176.8,178.39,513.8,46.7,26.04,2.29,2.62,39.7,78.5,151.4,42.9,8.1,8.1,2,325.5,0.82,"LIP: ABN    ICT: ABN    HEM: ABN","Haemolyzed + ",17533,5.3,0.67,"09-Jan-12","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",143.6
"22","MCUU28.4c","M00794434","+/+",37.6,"MCUU","Prps1 Knockout 1 EPD0436_5_A05","B6N Mouse GP 20110413","Mouse GP","Prps1","Female","13-Apr-11","03-Aug-11",16,NA,NA,650,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",138.7,4.2,104.1,26.54,0.72,4.98,3.39,1.32,0.5,206.9,196.01,560.7,48.6,26.48,2.31,2.85,35.6,361.4,154.5,247.3,9.1,8.4,2,355.8,1.02,"LIP: Normal    ICT: Normal    HEM: Normal","",18004,7.1,0.32,"19-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",138.7
"23","MCUU28.4a","M00794432","+/+",30.7,"MCUU","Prps1 Knockout 1 EPD0436_5_A05","B6N Mouse GP 20110413","Mouse GP","Prps1","Female","13-Apr-11","03-Aug-11",16,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",139,4.1,105.4,26.17,0.47,5.01,3.37,1.44,0.342,135.6,187.11,456,45.7,24.85,2.25,2.65,33,317.4,133.7,244.6,10.6,7.6,1.9,204.4,0.96,"LIP: Normal    ICT: Normal    HEM: Normal","",18005,6.8,0.26,"19-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",139
"24","MCUU32.4b","M00794509","+/+",36.2,"MCUU","Prps1 Knockout 1 EPD0436_5_A05","B6N Mouse GP 20110413","Mouse GP","Prps1","Female","12-Apr-11","03-Aug-11",16.1,NA,NA,850,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141.2,4,105.6,22.95,0.61,6.07,3.64,2.04,0.581,232.7,190.07,564.5,51.6,27.34,2.42,2.48,38.4,525.5,173.2,409.8,9.5,7.9,2.9,182.7,0.88,"LIP: Normal    ICT: Normal    HEM: Normal","Haemolyzed + ",18008,7.6,0.8,"19-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141.2
"25","MCUU32.4d","M00794511","+/+",25.3,"MCUU","Prps1 Knockout 1 EPD0436_5_A05","B6N Mouse GP 20110413","Mouse GP","Prps1","Female","12-Apr-11","03-Aug-11",16.1,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",140.4,3.9,105.7,27.08,0.99,3.14,2.29,0.74,0.618,191.5,190.07,582.8,45.1,25.22,2.21,3.55,29.9,85.6,133.9,52.8,9.7,9.3,1.8,107.1,0.88,"LIP: Normal    ICT: Normal    HEM: Normal","",18002,6.5,0.13,"19-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",140.4
"26","MCSC17.2h","M00791879","+/+",34.8,"MCSC","Anp32e EPD0287_2_B10","B6N Mouse GP 20110413","Mouse GP","Anp32e","Female","13-Apr-11","03-Aug-11",16,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141,4.6,107.2,23.94,0.55,5.23,3.21,1.7,0.399,189.7,181.16,515.9,48.2,26.33,2.27,2.91,36,451.3,153.7,375.3,10,7.6,2.4,232.2,0.86,"LIP: Normal    ICT: Normal    HEM: Normal","",17995,7.3,0.45,"19-Dec-11","C57BL/6N(37.5%);C57BL/6NTac(62.5%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141
"27","MCSC20.3d","M00791883","+/+",37.5,"MCSC","Anp32e EPD0287_2_B10","B6N Mouse GP 20110413","Mouse GP","Anp32e","Female","13-Apr-11","03-Aug-11",16,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",138.2,4.5,103.1,29.96,0.76,6.24,3.8,1.97,0.542,184.6,184.13,606.8,50.1,27,2.32,2.88,31.4,461.7,181.7,358.6,10.6,8.2,2.4,98.8,0.9,"LIP: Normal    ICT: Normal    HEM: Normal","",17994,6.9,0.43,"19-Dec-11","C57BL/6N(31.25%);C57BL/6NTac(68.75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",138.2
"28","MCSC20.3g","M00791886","+/+",34.5,"MCSC","Anp32e EPD0287_2_B10","B6N Mouse GP 20110413","Mouse GP","Anp32e","Female","13-Apr-11","03-Aug-11",16,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",140.3,4.4,104.7,29.63,0.68,4.31,2.93,1.18,0.486,155.6,178.19,559.3,46.6,24.7,2.28,3.12,41.1,275.5,122.2,189,10.1,7.9,2.9,220.2,0.86,"LIP: Normal    ICT: Normal    HEM: Normal","Haemolyzed + ",17888,6.5,0.59,"19-Dec-11","C57BL/6N(31.25%);C57BL/6NTac(68.75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",140.3
"29","MCUU32.4c","M00794510","+/+",31.5,"MCUU","Prps1 Knockout 1 EPD0436_5_A05","B6N Mouse GP 20110413","Mouse GP","Prps1","Female","12-Apr-11","03-Aug-11",16.1,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",139.7,4.3,104.6,29.7,0.91,4.37,2.84,1.28,0.614,187.7,193.04,589.3,48.3,25.93,2.25,3.55,44.2,445.4,177.2,291.5,10.8,8.2,3.2,127.7,0.91,"LIP: Normal    ICT: Normal    HEM: Normal","",17785,6.1,0.68,"19-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",139.7
"30","MBYL37.1c","M00800411","+/+",35.9,"MBYL","Mad2l2 Knockout First EPD0046_3_B02","B6N Mouse GP 20110418","Mouse GP","Mad2l2","Female","20-Apr-11","08-Aug-11",15.7,NA,NA,750,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",144,4.4,109.5,22.44,0.62,5.26,3.34,1.4,0.415,160.4,187.11,584.5,50.4,27.02,2.4,3.28,39.2,247.2,143.1,194.1,12.6,11.7,2.1,462,0.93,"LIP: Normal    ICT: Normal    HEM: Normal","",18053,7.5,0.61,"19-Dec-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",144
"31","MBYL31.1e","M00798267","+/+",34,"MBYL","Mad2l2 Knockout First EPD0046_3_B02","B6N Mouse GP 20110418","Mouse GP","Mad2l2","Female","19-Apr-11","08-Aug-11",15.9,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141.8,4.1,108.6,24.99,0.66,4.69,3.16,1.1,0.441,166.2,184.13,546.7,48.9,26.81,2.38,2.86,34.8,168,149.4,132.9,10,9.7,2.1,133.9,0.86,"LIP: Normal    ICT: Normal    HEM: Normal","",18056,6.3,0.58,"19-Dec-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141.8
"32","MBYL29.1c","M00800407","+/+",30.2,"MBYL","Mad2l2 Knockout First EPD0046_3_B02","B6N Mouse GP 20110418","Mouse GP","Mad2l2","Female","20-Apr-11","08-Aug-11",15.7,NA,NA,700,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",144.2,3.7,110.1,18.83,0.51,4.32,2.89,0.99,0.322,145,181.17,532,47.9,26.35,2.31,2.55,49,137,155.8,101.4,8,7.4,2.4,75.3,0.87,"LIP: Normal    ICT: Normal    HEM: Normal","",18054,9.4,0.36,"19-Dec-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",144.2
"33","MAYV44.3d","M00798214","+/+",31.6,"MAYV","Mtor Knockout 1 EPD0046_3_B11","B6N Mouse GP 20110418","Mouse GP","Mtor","Female","18-Apr-11","08-Aug-11",16,NA,NA,650,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",142.1,4.3,107.2,26.11,0.45,4.05,2.83,0.87,0.302,138.7,175.22,561.9,46.3,24.24,2.3,2.87,22.3,207.1,131.2,125.5,7.7,9.5,2.1,474,0.9,"LIP: Normal    ICT: Normal    HEM: Normal","",18046,6,0.54,"19-Dec-11","C57BL/6N(18.75%);C57BL/6NTac(81.25%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",142.1
"34","MAYV44.3e","M00798215","+/+",34,"MAYV","Mtor Knockout 1 EPD0046_3_B11","B6N Mouse GP 20110418","Mouse GP","Mtor","Female","18-Apr-11","08-Aug-11",16,NA,NA,900,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",145.2,4,109.8,18.36,0.83,5.12,3.34,1.33,0.594,213.2,190.08,463,51.1,27.12,2.33,2.24,34.2,382.3,117.6,303.6,8.6,8.1,2,88.3,0.87,"LIP: Normal    ICT: Normal    HEM: Normal","",18055,8.5,0.39,"19-Dec-11","C57BL/6N(18.75%);C57BL/6NTac(81.25%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",145.2
"35","MAYV51.1h","M00798281","+/+",36.8,"MAYV","Mtor Knockout 1 EPD0046_3_B11","B6N Mouse GP 20110418","Mouse GP","Mtor","Female","18-Apr-11","08-Aug-11",16,NA,NA,900,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",145.4,4.3,110,24.66,0.72,4.38,2.83,1.11,0.409,134.8,175.23,618.5,47.5,26.22,2.25,3.44,31.5,192.3,217.1,153.8,8.1,9.7,1.8,92.5,0.85,"LIP: Normal    ICT: Normal    HEM: Normal","",18057,6.5,1.87,"19-Dec-11","C57BL/6N(15.625%);C57BL/6NTac(84.375%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",145.4
"36","MBYL31.1f","M00798268","+/+",38.1,"MBYL","Mad2l2 Knockout First EPD0046_3_B02","B6N Mouse GP 20110418","Mouse GP","Mad2l2","Female","19-Apr-11","08-Aug-11",15.9,NA,NA,850,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",141.6,4.9,106.7,32.27,1.2,5.55,3.37,1.51,0.748,235.8,175.23,567.7,49.5,26.5,2.39,2.66,27.5,230.3,171.1,184.5,8.1,7.5,2.2,59,0.84,"LIP: Normal    ICT: Normal    HEM: Normal","",18048,5.7,0.36,"19-Dec-11","C57BL/6N(25%);C57BL/6NTac(75%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",141.6
"37","MCYQ42.3k","M00808067","+/+",32.4,"MCYQ","Cdc6 Knockout 1 EPD0553_2_A09","B6N Mouse GP 20110427","Mouse GP","Cdc6","Female","28-Apr-11","15-Aug-11",15.6,NA,NA,850,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",142.6,4.2,107.6,26.13,0.6,3.48,2.62,0.75,0.468,194.3,166.16,571.7,44.2,24.58,2.24,2.71,33.8,106.9,141.3,66.6,8.5,8,1.8,62.9,0.79,"LIP: Normal    ICT: Normal    HEM: Normal","",18107,6.6,0.6,"22-Dec-11","C57BL/6N;C57BL/6NTac","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",142.6
"38","MALM39.1d","M00802339","+/+",41.6,"MALM","EZh2 Knockout First EPD0052_2_C05","B6N Mouse GP 20110427","Mouse GP","Ezh2","Female","26-Apr-11","15-Aug-11",15.9,NA,NA,800,"Ketamine (100mg/kg)/Xylazine (10mg/kg)",143.6,4,107.1,19.29,0.79,7.21,4.2,2.52,0.3,152.4,189.48,556.1,54.1,28.71,2.41,2.38,17.3,270.1,149,220.6,8.3,7.7,1.8,153.8,0.8,"LIP: Normal    ICT: Normal    HEM: Normal","",18120,6.5,1.47,"22-Dec-11","C57BL/6N(12.5%);C57BL/6NTac(87.5%)","B6N",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",143.6
